Refcode    FHe,T(-)   Density(g/cm3)   PoreVolume(cm3/g)   SAC,T(A2) SAC,T(m2/g) SAC,T(m2/cm3)
AKEBAV     0.262169     1.265     0.2072     267.198916  58.444331  73.933224
AKECEA     0.361578     1.323     0.2734     324.687224  82.763538  109.464545
AKECIE     0.414072     1.231     0.3364     1417.855012  361.414581  444.860043
AKEDAX     0.390135     1.008     0.3870     102.282035  22.524353  22.704625
AKICUT01     0.51498     0.927     0.5554     4810.580669  1711.746876  1587.172541
AKIMIS     0.61387     0.804     0.7634     4154.422009  1823.111046  1465.999385
AKINAK     0.168363     2.368     0.0711     114.044407  11.027480  26.114062
AKIQUG     0.559127     0.816     0.6851     5662.174191  1552.342626  1266.889611
AKITUL     0.478574     1.056     0.4530     833.111390  203.511561  214.977700
AKIYOI     0.621258     0.964     0.6445     11064.784538  2066.188352  1991.703242
AKIYOK     0.22133     1.217     0.1819     134.937335  35.721566  43.471793
AKIYUQ     0.2156     1.304     0.1653     161.053672  38.650141  50.400525
AKIZEZ     0.646873     0.842     0.7683     3053.081641  1578.535450  1329.092307
AKIZUR     0.301061     1.126     0.2673     28.206014  8.978084  10.111042
AKOBAF     0.302375     1.196     0.2528     419.399474  62.852187  75.191146
AKUJOH     0.387656     1.157     0.3351     239.435960  62.639342  72.465185
AKUMIE     0.674488     0.793     0.8501     3556.281484  1259.600573  999.367121
AKURIH01     0.680137     0.668     1.0182     8212.751136  2808.174781  1875.821775
ALATIR     0.220367     1.596     0.1380     252.765177  73.453009  117.256321
ALATOX     0.191981     1.619     0.1186     105.673522  30.331263  49.092507
ALECUP     0.435969     1.217     0.3584     2127.486498  470.031525  571.814448
ALEQEP     0.652092     0.732     0.8914     6171.286464  2102.230409  1537.943790
ALESAN     0.644885     0.751     0.8583     5954.691043  2002.308912  1504.465689
ALEZEY     0.0842958     1.500     0.0562     12.234769  2.242538  3.364904
ALIFOS     0.260935     1.410     0.1850     325.512063  58.223731  82.112602
ALIFUY     0.231927     1.382     0.1678     78.314708  12.066626  16.677141
ALIHEJ     0.22389     1.035     0.2163     0.598897  0.094766  0.098100
ALIHUY     0.252245     1.521     0.1659     457.090379  88.491421  134.583931
ALIJUB     0.278539     0.920     0.3027     495.156577  142.364380  131.019067
ALIWEX     0.278003     2.301     0.1208     488.946889  43.316778  99.652569
ALOLES     0.418602     2.080     0.2012     1056.855289  216.796420  451.007756
ALONOE     0.287391     1.500     0.1916     432.832767  70.134582  105.198573
ALTRMN     0.293694     1.021     0.2877     63.177698  9.288299  9.482838
ALUKIC     0.717658     0.730     0.9828     5427.783576  2923.819711  2135.042096
ALUKOI     0.716215     0.744     0.9628     5384.783988  2858.717793  2126.610061
ALUKUO     0.717902     0.747     0.9616     5382.728116  2851.199739  2128.704241
ALULAV     0.716538     0.756     0.9479     5312.282234  2793.099885  2111.365016
ALURAB     0.446018     1.052     0.4241     3623.935041  553.711946  582.396551
ALUREF     0.445602     1.054     0.4227     3599.806050  550.025205  579.799468
AMAGOL     0.781229     0.510     1.5326     13737.122085  4933.113677  2514.598783
AMAPIN     0.351567     1.196     0.2940     1369.449004  185.386492  221.681346
AMAPUZ     0.469727     0.941     0.4994     3610.331652  720.607357  677.772958
AMAQAG02     0.28312     1.175     0.2409     168.548399  68.760060  80.801626
AMAQAG     0.274068     1.175     0.2332     158.977795  64.855690  76.213535
AMAQEK     0.303068     1.256     0.2413     559.000010  104.712151  131.510384
AMEQUF     0.256108     1.199     0.2136     0.266959  0.059944  0.071861
AMILOY     0.465909     1.060     0.4395     4857.385595  828.121489  877.938828
AMILUE     0.476907     1.034     0.4613     5023.845067  856.500679  885.405317
AMIMAL     0.470978     1.041     0.4526     5063.475916  863.257227  898.349244
AMIMAM     0.252365     1.252     0.2015     9.133125  2.703613  3.385268
AMINUF     0.395368     1.359     0.2910     1616.721580  332.850890  452.276853
AMIYIF     0.465431     1.348     0.3454     1410.896161  165.723618  223.330328
AMOCAH     0.474589     1.674     0.2834     3494.140173  374.569679  627.194910
AMOFAK     0.713558     0.741     0.9631     9475.800640  2520.150821  1867.174664
AMOYOR     0.293188     1.170     0.2506     1117.656260  155.247329  181.599161
AMUBIU     0.182729     1.502     0.1216     577.600241  140.773916  211.509470
AMUBOA     0.664276     0.767     0.8657     7057.110501  1460.427321  1120.572644
AMUCAN     0.21692     1.377     0.1575     1281.705670  248.588749  342.406871
AMULOK     0.329608     1.274     0.2588     144.675925  52.235176  66.532410
AMULUQ     0.377225     1.233     0.3060     304.992961  110.117567  135.745980
AMUMEB     0.377125     1.241     0.3039     278.651400  100.606959  124.843528
AMUPOP     0.235844     1.303     0.1810     156.320171  23.435635  30.533596
AMUQEG     0.444256     1.070     0.4154     1778.220365  495.773756  530.239369
AMURUX     0.235229     1.255     0.1875     14.237103  4.203297  5.273729
AMUSOR     0.27643     1.234     0.2240     490.142891  50.022037  61.741334
AMUWIP     0.853005     0.550     1.5511     16537.433984  4532.452952  2492.598474
AMUXIR     0.445348     1.018     0.4376     3085.032037  737.188143  750.254647
AMUYAK     0.729961     0.631     1.1577     8198.174313  2525.096609  1592.172785
AMUYEO     0.596913     0.713     0.8373     2321.217326  1014.082843  722.979405
ANAGIH     0.524639     1.185     0.4428     3229.396178  633.548754  750.706067
ANAGUS     0.25143     1.371     0.1833     115.951282  28.791230  39.482974
ANAHED     0.321738     1.873     0.1718     1683.373233  250.471246  469.144300
ANAWIX     0.41605     1.603     0.2595     1251.525729  305.151808  489.180424
ANAWOD     0.589482     1.438     0.4099     4880.488184  832.166492  1196.880773
