Refcode  Volume(A3) Mass(g/mol) Density(g/cm3)  FHe,T(-) FG,T(-) FHe,A(-) FG,A(-)  SAC,T(A2) SAC,T(m2/cm3) SAC,T(m2/g) SAC,A(A2) SAC,A(m2/cm3) SAC,A(m2/g)  VPO,T(A3) VPO,T(cm3/g) FPO,T(-) VPO,A(A3) VPO,A(cm3/g) FPO,A(-)  Accesibility Porosity   PLD(A) LCD(A)     Dimensionality     Year
AFILEH    32921.960  21338.880  1.076      0.370843  0.492801  0.370843  0.492801      2295.67  697.31  647.87  2288.18  695.03  645.76      10399.58695  0.293  0.31589  10271.41731  0.290  0.31199       Yes  Yes  4.99  5.53  1D    2007
AFITEP    30177.586  19416.160  1.068      0.476095  0.494174  0.476095  0.494174      414.25  137.27  128.48  395.91  131.19  122.80      10828.32948  0.336  0.35882  10785.08177  0.335  0.35739       Yes  Yes  3.87  4.38  1D    2009
AFIWAQ    71573.363  59997.552  1.392      0.208213  0.380219  0.208213  0.380219      1539.11  215.04  154.48  1564.48  218.58  157.03      11865.11766  0.119  0.16578  11911.38073  0.120  0.16642       Yes  Yes  4.21  5.61  1D    2018
AFOFUX    39739.218  69624.000  2.909      0.374407  0.553839  0.374407  0.553839      1821.26  458.30  157.53  1752.32  440.96  151.57      17530.29130  0.152  0.44113  17334.40983  0.150  0.43620       Yes  Yes  3.71  4.59  1D    2009
AFOGAE    29088.748  45120.000  2.576      0.242206  0.492824  0.242206  0.492824      410.68  141.18  54.81  357.01  122.73  47.65      8849.40219  0.118  0.30422  5424.61330  0.072  0.18648       Yes  Yes  3.48  5.08  1D    2009
AFOXAX    32397.991  28526.112  1.462      0.251770  0.365135  0.251770  0.365135      754.04  232.74  159.18  0.00  0.00  0.00      5964.51629  0.126  0.18410  0.00000  0.000  0.00000       No  No  3.17  5.98  1D    2018
AFUJUG    32689.697  21192.156  1.076      0.588005  0.639369  0.588005  0.639369      4587.09  1403.22  1303.51  4606.50  1409.16  1309.02      17195.07914  0.489  0.52601  17163.72796  0.488  0.52505       Yes  Yes  5.51  7.55  1D    2002
AFUMIY    62016.869  54763.603  1.466      0.293364  0.458466  0.293364  0.458466      1192.10  192.22  131.09  0.00  0.00  0.00      15328.04684  0.169  0.24716  0.00000  0.000  0.00000       No  No  2.91  5.20  1D    2009
AFUWEG    26929.628  16699.224  1.030      0.519077  0.583300  0.519077  0.583300      2869.28  1065.47  1034.73  2859.28  1061.76  1031.12      12217.73769  0.441  0.45369  12247.58302  0.442  0.45480       Yes  Yes  4.73  5.84  1D    2018
AGABUF    35354.685  27412.416  1.288      0.548224  0.634525  0.548224  0.634525      3341.21  945.05  734.02  3370.96  953.47  740.55      18810.45194  0.413  0.53205  18792.50517  0.413  0.53154       Yes  Yes  3.96  5.14  1D    2002
AGADIW    33448.852  22151.040  1.100      0.287651  0.449854  0.287651  0.449854      413.21  123.54  112.34  287.98  86.10  78.29      8054.71817  0.219  0.24081  5717.90193  0.155  0.17094       Yes  Yes  3.35  4.60  1D    2009
